"Date";"Time";"Script";"Event"
"2023-07-10";"09:01:20";"PWS2mqtt";"Incomging data seems valid weather data, continue processing"
"2023-07-10";"09:01:20";"PWS2mqtt";"Converting the rawdata"
"2023-07-10";"09:01:21";"PWS2mqtt";"M2MQtt module loaded"
"2023-07-10";"09:01:21";"PWS2mqtt";"Default MQTT retain bit is set"
"2023-07-10";"09:01:21";"PWS2mqtt";""
"2023-07-10";"09:01:21";"PWS2mqtt";"Connecting to MQTT server mqttw.schermers.local:1883"
"2023-07-10";"09:01:21";"PWS2mqtt";"Sending messages to: mqttw.schermers.local"
"2023-07-10";"09:01:21";"PWS2mqtt";"Disconnecting from: mqttw.schermers.local"
"2023-07-10";"09:01:21";"PWS2mqtt";"End of function app"
"2023-07-10";"09:01:57";"PWS2mqtt";"Incomging data seems valid weather data, continue processing"
"2023-07-10";"09:01:57";"PWS2mqtt";"Converting the rawdata"
"2023-07-10";"09:01:57";"PWS2mqtt";"M2MQtt module loaded"
"2023-07-10";"09:01:57";"PWS2mqtt";"Default MQTT retain bit is set"
"2023-07-10";"09:01:57";"PWS2mqtt";""
"2023-07-10";"09:01:57";"PWS2mqtt";"Connecting to MQTT server mqttw.schermers.local:1883"
"2023-07-10";"09:01:57";"PWS2mqtt";"Sending messages to: mqttw.schermers.local"
"2023-07-10";"09:01:58";"PWS2mqtt";"Disconnecting from: mqttw.schermers.local"
"2023-07-10";"09:01:58";"PWS2mqtt";"End of function app"
"2023-07-10";"09:03:35";"PWS2mqtt";"Incomging data seems valid weather data, continue processing"
"2023-07-10";"09:03:35";"PWS2mqtt";"Converting the rawdata"
"2023-07-10";"09:03:35";"PWS2mqtt";"M2MQtt module loaded"
"2023-07-10";"09:03:36";"PWS2mqtt";"Default MQTT retain bit is set"
"2023-07-10";"09:03:36";"PWS2mqtt";""
"2023-07-10";"09:03:36";"PWS2mqtt";"Connecting to MQTT server mqttw.schermers.local:1883"
"2023-07-10";"09:03:36";"PWS2mqtt";"Sending messages to: mqttw.schermers.local"
"2023-07-10";"09:03:36";"PWS2mqtt";"Publishing data per topic"
"2023-07-10";"09:03:36";"PWS2mqtt";"Publishing json data"
"2023-07-10";"09:03:36";"PWS2mqtt";"Publishing raw data (json)"
"2023-07-10";"09:03:36";"PWS2mqtt";"Domoticz topic entered: domoticz/Test with message: {
  ""data"": ""{\r\n  \""humidity_indoor\"": \""50\"",\r\n  \""humidity_outdoor\"": \""62\"",\r\n  \""wind_scale_beaufort\"": 3,\r\n  \""temperature_outdoor\"": 18.1,\r\n  \""heat_index\"": 18.1,\r\n  \""temperature_indoor\"": 22.7,\r\n  \""dewpoint\"": 10.7,\r\n  \""wind_direction_abbreviation\"": \""W\"",\r\n  \""uv\"": \""8\"",\r\n  \""rain_mm\"": 6.1,\r\n  \""rainrate_mmh\"": 0.0,\r\n  \""wind_direction\"": \""258\"",\r\n  \""totalrain_mm\"": 19.6,\r\n  \""solar_radiation\"": \""821.10\"",\r\n  \""wind_speed_ms\"": 5.4,\r\n  \""wind_speed_name\"": \""Gentle breeze\"",\r\n  \""model\"": \""WS2900_V2.01.18\"",\r\n  \""windchill\"": 18.1,\r\n  \""barometer_relative\"": 997.7,\r\n  \""stationtype\"": \""EasyWeatherV1.6.5\"",\r\n  \""wind_gust\"": 6.1,\r\n  \""wind_speed_kph\"": 19.5,\r\n  \""wind_direction_entext\"": \""West\"",\r\n  \""barometer_absolute\"": 1010.6\r\n}"",
  ""command"": ""customevent"",
  ""event"": ""Test""
}"
"2023-07-10";"09:03:36";"PWS2mqtt";"Publishing domoticz data"
"2023-07-10";"09:03:36";"PWS2mqtt";"Disconnecting from: mqttw.schermers.local"
"2023-07-10";"09:03:36";"PWS2mqtt";"End of function app"
